"","X","id","delay_cond","condition","value","valence","stim_condition"
"447",789,"p1229","Sleep","neu_object_memory",0.8125,"neu","object_memory"
"448",790,"p1230","Sleep","neu_object_memory",0.4375,"neu","object_memory"
"449",792,"p1232","Sleep","neu_object_memory",0.5625,"neu","object_memory"
"450",794,"p1234","Sleep","neu_object_memory",0.4375,"neu","object_memory"
"451",796,"p1236","Sleep","neu_object_memory",0.5625,"neu","object_memory"
"452",797,"p1237","Sleep","neu_object_memory",0.5625,"neu","object_memory"
"453",798,"p1238","Sleep","neu_object_memory",0.75,"neu","object_memory"
"454",799,"p1239","Sleep","neu_object_memory",0.8125,"neu","object_memory"
"455",800,"p1240","Sleep","neu_object_memory",0.5625,"neu","object_memory"
"456",801,"p1241","Sleep","neu_object_memory",0.5625,"neu","object_memory"
"457",802,"p1242","Sleep","neu_object_memory",0.3125,"neu","object_memory"
"458",803,"p1243","Wake","neu_object_memory",0.6875,"neu","object_memory"
"459",804,"p1244","Wake","neu_object_memory",0.1875,"neu","object_memory"
"460",805,"p1245","Wake","neu_object_memory",0.75,"neu","object_memory"
"461",806,"p1246","Sleep","neu_object_memory",0.5625,"neu","object_memory"
"462",807,"p1247","Wake","neu_object_memory",0.5625,"neu","object_memory"
"463",808,"p1248","Sleep","neu_object_memory",1,"neu","object_memory"
"464",809,"p1249","Wake","neu_object_memory",0,"neu","object_memory"
"465",810,"p1250","Wake","neu_object_memory",0.625,"neu","object_memory"
"466",811,"p1251","Wake","neu_object_memory",0.625,"neu","object_memory"
"467",812,"p1252","Wake","neu_object_memory",0.5625,"neu","object_memory"
"468",813,"p1253","Wake","neu_object_memory",0.625,"neu","object_memory"
"469",814,"p1254","Wake","neu_object_memory",0.4375,"neu","object_memory"
"470",815,"p1255","Wake","neu_object_memory",0.75,"neu","object_memory"
"471",816,"p1256","Wake","neu_object_memory",0.125,"neu","object_memory"
"472",818,"p1258","Wake","neu_object_memory",0.375,"neu","object_memory"
"473",819,"p1259","Wake","neu_object_memory",0.6875,"neu","object_memory"
"474",820,"p1260","Sleep","neu_object_memory",0.875,"neu","object_memory"
"475",821,"p1261","Sleep","neu_object_memory",0.8125,"neu","object_memory"
"476",822,"p1262","Sleep","neu_object_memory",0.9375,"neu","object_memory"
"477",823,"p1263","Wake","neu_object_memory",0.75,"neu","object_memory"
"478",825,"p1265","Sleep","neu_object_memory",0.625,"neu","object_memory"
"479",826,"p1266","Wake","neu_object_memory",0.625,"neu","object_memory"
"480",827,"p1267","Wake","neu_object_memory",0.75,"neu","object_memory"
"481",828,"p1268","Wake","neu_object_memory",0.5625,"neu","object_memory"
"482",830,"p1270","Wake","neu_object_memory",0.75,"neu","object_memory"
"483",831,"p1271","Sleep","neu_object_memory",0.6875,"neu","object_memory"
"484",832,"p1272","Sleep","neu_object_memory",0.75,"neu","object_memory"
"485",833,"p1273","Wake","neu_object_memory",0.125,"neu","object_memory"
"486",834,"p1274","Sleep","neu_object_memory",0.370833333,"neu","object_memory"
"487",835,"p1275","Wake","neu_object_memory",0.5625,"neu","object_memory"
"488",836,"p1276","Wake","neu_object_memory",0.875,"neu","object_memory"
"489",837,"p1277","Sleep","neu_object_memory",0.875,"neu","object_memory"
"490",838,"p1278","Sleep","neu_object_memory",0.6875,"neu","object_memory"
"491",839,"p1279","Wake","neu_object_memory",0.4375,"neu","object_memory"
"492",840,"p1280","Wake","neu_object_memory",0.6875,"neu","object_memory"
