,start_exp_2.keys,start_exp_2.rt,start_exp_3.keys,start_exp_3.rt,intel_resp.keys,intel_resp.rt,textbox_word.text,key_resp.keys,key_resp.rt,valence_resp.keys,valence_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,file,eng_name,heb_name,category,rms,intelligibility,syllables,category_key,frequency,log_freq,google_freq,log_google_freq,participant,age,gender,correct_guess
17,,NA,,NA,7,2.0893,"<U+05D9><U+05D3><U+05D9><U+05EA>
",return,2.3694,4,0.59,0,16,16,168,1,yadit.ogg,yadit,<U+05D9><U+05D3><U+05D9><U+05EA>,Object,0.107020855,NA,2,l,544,2.7355989,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
18,,NA,,NA,7,1.6447,"<U+05D2><U+05DC><U+05D2><U+05DC>
",return,2.3773,4,17.4189,0,17,17,34,1,galgal.ogg,galgal,<U+05D2><U+05DC><U+05D2><U+05DC>,Object,0.148542315,NA,2,l,1839,3.264581729,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
19,,NA,,NA,7,2.003,"<U+05D7><U+05D6><U+05D9><U+05E8>
",return,1.8324,3,1.3588,0,18,18,62,1,khazir.ogg,khazir,<U+05D7><U+05D6><U+05D9><U+05E8>,Animal,0.058417033,NA,2,a,1601,3.204391332,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
20,,NA,,NA,6,1.9061,"<U+05D0><U+05E8><U+05DE><U+05D3><U+05D9><U+05DC>
",return,1.614,4,1.5175,0,19,19,8,1,armedil.ogg,armedil,<U+05D0><U+05E8><U+05DE><U+05D3><U+05D9><U+05DC>,Animal,0.108348459,NA,3,a,153,2.184691431,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
21,,NA,,NA,7,1.3229,"<U+05E9><U+05D5><U+05DE><U+05DF>
",return,1.2739,3,1.2868,0,20,20,142,1,shuman.ogg,shuman,<U+05E9><U+05D5><U+05DE><U+05DF>,Object,0.076844811,NA,2,l,1865,3.270678836,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
22,,NA,,NA,2,14.3318,"<U+05E6><U+05E4><U+05E2>
",return,13.7412,3,0.9828,0,21,21,162,1,tzefa.ogg,tzefa,<U+05E6><U+05E4><U+05E2>,Animal,0.114869006,NA,2,a,225,2.352182518,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
23,,NA,,NA,7,1.4166,"<U+05D7><U+05D2><U+05D1>
",return,1.1079,4,1.9178,0,22,22,53,1,khagav.ogg,khagav,<U+05D7><U+05D2><U+05D1>,Animal,0.112923481,NA,2,a,37,1.568201724,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
24,,NA,,NA,6,1.7341,"<U+05E0><U+05E2><U+05DC><U+05D9><U+05D9><U+05DD>
",return,1.5247,4,1.2601,0,23,23,109,1,naalaim.ogg,naalaim,<U+05E0><U+05E2><U+05DC><U+05D9><U+05D9><U+05DD>,Object,0.115955301,NA,2,l,1213,3.083860801,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
25,,NA,,NA,7,1.3083,"<U+05DB><U+05E8><U+05D9><U+05E9>
",return,1.4431,3,0.4548,0,24,24,44,1,karish.ogg,karish,<U+05DB><U+05E8><U+05D9><U+05E9>,Animal,0.087359764,NA,2,a,811,2.909020854,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
26,,NA,,NA,7,1.1673,"<U+05EA><U+05DE><U+05E0><U+05D5><U+05DF>
",return,1.2871,4,1.4652,0,25,25,150,1,tamnun.ogg,tamnun,<U+05EA><U+05DE><U+05E0><U+05D5><U+05DF>,Animal,0.109244198,NA,2,a,186,2.269512944,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
