id,age,baselines,rqcorrect,rq,demand_intensity,demand_liking,stim,ValenceContrast,NeutralContrast,target,targetdummy,controldummy,reaction,intensity,liking,dist
3,33,2,0,5,0,0,3,0,0.666666667,-0.5,0,1,2,1,2,1
3,33,2,0,5,0,0,4,0,0.666666667,-0.5,0,1,2,1,2,3
3,33,2,0,5,0,0,5,0,0.666666667,-0.5,0,1,2,1,2,1
3,33,2,0,5,0,0,6,0,0.666666667,-0.5,0,1,2,1,2,1
3,33,2,0,5,0,0,7,0,0.666666667,-0.5,0,1,2,1,2,3
3,33,2,0,5,0,0,8,0,0.666666667,0.5,1,0,4,3,3,5
3,33,2,0,5,0,0,9,0,0.666666667,-0.5,0,1,2,1,2,3
3,33,2,0,5,0,0,10,0,0.666666667,-0.5,0,1,2,1,3,3
3,33,2,0,5,0,0,11,0.5,-0.333333333,0.5,1,0,2,2,6,6
3,33,2,0,5,0,0,12,0.5,-0.333333333,-0.5,0,1,1,2,1,7
3,33,2,0,5,0,0,13,0.5,-0.333333333,-0.5,0,1,1,2,1,5
3,33,2,0,5,0,0,14,0.5,-0.333333333,-0.5,0,1,1,2,2,6
3,33,2,0,5,0,0,15,0.5,-0.333333333,-0.5,0,1,3,2,6,6
3,33,2,0,5,0,0,16,0.5,-0.333333333,-0.5,0,1,9,2,9,7
3,33,2,0,5,0,0,17,0.5,-0.333333333,-0.5,0,1,7,2,6,6
3,33,2,0,5,0,0,18,0.5,-0.333333333,-0.5,0,1,1,2,4,6
3,33,2,0,5,0,0,19,0.5,-0.333333333,-0.5,0,1,5,2,4,7
3,33,2,0,5,0,0,20,0.5,-0.333333333,-0.5,0,1,2,2,4,8
3,33,2,0,5,0,0,21,-0.5,-0.333333333,-0.5,0,1,2,1,5,2
3,33,2,0,5,0,0,22,-0.5,-0.333333333,-0.5,0,1,2,2,5,2
3,33,2,0,5,0,0,23,-0.5,-0.333333333,0.5,1,0,1,1,1,2
3,33,2,0,5,0,0,24,-0.5,-0.333333333,-0.5,0,1,1,1,1,3
3,33,2,0,5,0,0,25,-0.5,-0.333333333,-0.5,0,1,5,5,1,5
3,33,2,0,5,0,0,26,-0.5,-0.333333333,-0.5,0,1,1,1,1,3
3,33,2,0,5,0,0,27,-0.5,-0.333333333,-0.5,0,1,9,9,1,9
