trial_type,trial_index,time_elapsed,rt,stimulus,stimulus_block,stimulus_side,key_press,second_stimulus,two_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,screen_size,block,sub_block,tags1,tags2
bRMS,63,1715773,886.5,images/f42887_e_293 copy.png,D-E,0,75,images/f42887_e_051 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['D'],['E']
bRMS,64,1717453,1191.7,images/f42887_e_038 copy.png,D-E,1,68,images/f42887_e_146 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['D'],['E']
bRMS,65,1718717,797,images/f42887_e_237 copy.png,D-E,1,68,images/f42887_e_044 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['D'],['E']
bRMS,66,1719915,727.5,images/f42887_e_165 copy.png,D-E,1,68,images/f42887_e_099 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['D'],['E']
bRMS,67,1721261,889.4,images/f42887_e_103 copy.png,D-E,1,68,images/f42887_e_209 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['D'],['E']
bRMS,68,1722717,1001.6,images/f42887_e_127 copy.png,A-C,1,75,images/f42887_e_176 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,69,1723741,551.1,images/f42887_e_127 copy.png,A-C,0,68,images/f42887_e_265 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,70,1724654,432,images/f42887_e_298 copy.png,A-C,0,68,images/f42887_e_266 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,71,1726157,1032.7,images/f42887_e_252 copy.png,A-C,1,75,images/f42887_e_240 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,72,1727199,567.8,images/f42887_e_156 copy.png,A-C,1,68,images/f42887_e_067 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,73,1728670,1008,images/f42887_e_005 copy.png,A-C,0,68,images/f42887_e_197 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,74,1730174,1043.2,images/f42887_e_298 copy.png,A-C,0,68,images/f42887_e_212 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,75,1731195,561.7,images/f42887_e_121 copy.png,A-C,0,68,images/f42887_e_210 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,76,1732525,844.6,images/f42887_e_058 copy.png,A-C,0,68,images/f42887_e_021 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,77,1733838,855.3,images/f42887_e_025 copy.png,A-C,0,68,images/f42887_e_068 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
